fixture,position,token_id,token_text,source,label,post_attn_l00,post_attn_l01,post_attn_l02,post_attn_l03,post_attn_l04,post_attn_l05,post_attn_l06,post_attn_l07,post_attn_l08,post_attn_l09,post_attn_l10,post_attn_l11,post_attn_l12,post_attn_l13,post_attn_l14,post_attn_l15,post_attn_l16,post_attn_l17,post_attn_l18,post_attn_l19,post_attn_l20,post_attn_l21,post_attn_l22,post_attn_l23,post_left_l00,post_left_l01,post_left_l02,post_left_l03,post_left_l04,post_left_l05,post_left_l06,post_left_l07,post_left_l08,post_left_l09,post_left_l10,post_left_l11,post_left_l12,post_left_l13,post_left_l14,post_left_l15,post_left_l16,post_left_l17,post_left_l18,post_left_l19,post_left_l20,post_left_l21,post_left_l22,post_left_l23,pre_attn_l00,pre_attn_l01,pre_attn_l02,pre_attn_l03,pre_attn_l04,pre_attn_l05,pre_attn_l06,pre_attn_l07,pre_attn_l08,pre_attn_l09,pre_attn_l10,pre_attn_l11,pre_attn_l12,pre_attn_l13,pre_attn_l14,pre_attn_l15,pre_attn_l16,pre_attn_l17,pre_attn_l18,pre_attn_l19,pre_attn_l20,pre_attn_l21,pre_attn_l22,pre_attn_l23,pre_left_l00,pre_left_l01,pre_left_l02,pre_left_l03,pre_left_l04,pre_left_l05,pre_left_l06,pre_left_l07,pre_left_l08,pre_left_l09,pre_left_l10,pre_left_l11,pre_left_l12,pre_left_l13,pre_left_l14,pre_left_l15,pre_left_l16,pre_left_l17,pre_left_l18,pre_left_l19,pre_left_l20,pre_left_l21,pre_left_l22,pre_left_l23
mixed-trust.txt,57,13,".",doc,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
multi-source.txt,0,2610,"You",system,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
multi-source.txt,1,525," are",system,0,0.101281,0.103497,0.109366,0.032786,0.021530,0.030795,0.020912,0.031153,0.074249,0.011796,0.017500,0.008930,0.043088,0.010418,0.027093,0.022880,0.004666,0.020814,0.018396,0.031001,0.034278,0.023066,0.215183,0.224339,0.110661,0.157962,0.136381,0.708510,0.579768,0.644085,0.607112,0.704548,0.389034,0.815132,0.599788,0.847471,0.526858,0.680438,0.475538,0.540567,0.904998,0.780805,0.670003,0.503031,0.707570,0.764226,0.301712,0.146656,259.595886,53.115612,33.562477,5.012090,2.413389,-3.574056,1.117325,-4.656376,58.630627,-6.349873,-4.043104,-6.405641,1.224389,-1.405645,-0.944142,-2.882628,-2.150523,-3.990956,-3.088629,-2.776673,-1.993163,-1.541461,8.806047,7.080660,259.395081,53.476849,33.704792,10.621733,6.947879,0.941174,5.981333,0.974212,63.136265,1.181205,1.355567,2.672504,5.310647,4.587320,2.906968,1.668084,5.340003,1.053993,1.694214,1.167165,1.765557,2.209849,9.107986,6.055604
multi-source.txt,2,279," the",system,0,0.096382,0.138533,0.200843,0.024034,0.027710,0.032652,0.040362,0.041350,0.088423,0.021620,0.022746,0.014474,0.040786,0.025942,0.052478,0.045324,0.005554,0.043360,0.038975,0.056735,0.043654,0.027235,0.232540,0.181033,0.078126,0.107279,0.099289,0.359204,0.284382,0.323764,0.294626,0.355414,0.212238,0.405518,0.293026,0.420249,0.268638,0.337700,0.237205,0.263533,0.454274,0.394110,0.335544,0.253964,0.356802,0.384615,0.248405,0.169959,256.914124,53.872536,35.178291,4.882119,2.685839,-3.232833,1.966887,-4.016859,56.968250,-7.760844,-3.518832,-8.655934,1.300251,-0.360156,-0.313817,-2.173321,-1.707192,-3.415000,-3.064813,-2.733603,-1.763887,-1.569209,8.966105,6.719166,256.652100,53.512539,34.286739,7.772092,4.602818,-1.377746,3.508587,-1.904016,58.680256,-2.556785,-1.406455,-1.900723,3.184030,1.550538,0.928214,-0.694510,1.676439,-1.471559,-0.789769,-0.914447,-0.132843,0.320902,9.034989,6.548869
multi-source.txt,3,10058," ring",system,0,0.061603,0.088630,0.049715,0.034265,0.043618,0.025602,0.035015,0.012585,0.027967,0.009065,0.030377,0.011942,0.034720,0.030287,0.028584,0.055409,0.011839,0.013296,0.020539,0.037552,0.038688,0.033782,0.012383,0.039529,0.066586,0.096826,0.116479,0.241156,0.190267,0.220623,0.196903,0.244156,0.155473,0.272683,0.194502,0.280503,0.181571,0.229416,0.169273,0.182125,0.304074,0.270069,0.230811,0.178934,0.247211,0.262281,0.229393,0.157327,256.721344,53.509167,32.233429,4.724160,3.352588,-3.187044,2.026637,-4.573963,52.967709,-6.913419,-2.599681,-6.356849,1.625733,0.557609,-0.490058,-1.589826,-2.048378,-4.024447,-2.626364,-2.512061,-2.378711,-2.436965,5.408564,4.062155,256.622589,53.988823,34.278286,6.732593,3.767932,-2.136123,2.873840,-2.734185,54.478485,-4.378951,-2.326214,-4.229199,2.409864,0.874414,0.348191,-1.345218,0.504585,-2.204376,-1.752425,-1.758808,-0.775549,-0.369595,8.984743,6.487283
multi-source.txt,4,26682,"hub",system,0,0.035728,0.060436,0.022070,0.012848,0.021222,0.031926,0.039037,0.012627,0.047045,0.015688,0.037663,0.036042,0.048360,0.028848,0.051679,0.051979,0.004152,0.016799,0.024665,0.042507,0.027954,0.024408,0.016702,0.032047,0.051689,0.080052,0.085944,0.183201,0.145911,0.164299,0.144409,0.178610,0.111051,0.201381,0.144695,0.209260,0.135031,0.174522,0.128153,0.140554,0.228662,0.198974,0.171877,0.135499,0.191093,0.202734,0.166890,0.116881,257.465759,54.995220,31.081610,4.088551,2.007172,-3.063234,2.220310,-4.730099,47.117817,-7.461596,-2.652545,-6.251962,1.685682,0.045925,-0.475415,-1.956776,-2.601200,-3.961713,-2.896117,-2.982650,-2.209946,-2.226515,6.096478,4.130170,257.601440,55.496082,33.414272,5.986698,3.494363,-2.504533,2.488106,-3.425749,47.613831,-5.075263,-2.595180,-4.730380,2.047850,0.697129,-0.028926,-1.567381,-0.261308,-2.782585,-2.193516,-2.196018,-1.265344,-0.910967,8.159651,5.863588
multi-source.txt,5,3529," conc",system,0,0.053583,0.045215,0.025795,0.013294,0.028970,0.010226,0.011838,0.001902,0.011467,0.003782,0.011092,0.004666,0.012210,0.005442,0.016934,0.025289,0.009692,0.007165,0.004783,0.007778,0.004968,0.013798,0.008535,0.017519,0.039075,0.064035,0.061770,0.144181,0.112756,0.132441,0.114589,0.140103,0.088212,0.159430,0.115631,0.171035,0.109822,0.140748,0.107106,0.113112,0.182760,0.158767,0.134973,0.110001,0.153655,0.164325,0.126549,0.088887,258.931702,56.286453,30.242691,3.711205,2.680420,-4.099506,1.256532,-6.502222,41.537163,-7.221857,-4.183651,-7.195095,0.323527,-1.426413,-1.605050,-2.843794,-2.505916,-4.878778,-4.568354,-4.729123,-3.817338,-2.983809,4.476179,3.305339,258.384491,56.728916,32.070747,5.598070,2.984133,-2.733558,2.237389,-3.985921,43.625225,-5.536721,-2.828497,-4.991217,1.783898,0.453831,-0.295328,-1.782940,-0.756678,-3.131873,-2.509628,-2.608122,-1.508729,-1.230333,7.590185,5.382113
multi-source.txt,6,86003,"ierge",system,0,0.061901,0.060743,0.018095,0.017956,0.033570,0.025250,0.055140,0.014189,0.027579,0.011416,0.036304,0.034875,0.030051,0.029446,0.057003,0.048843,0.003412,0.011271,0.021421,0.019046,0.034158,0.010165,0.010703,0.011344,0.033772,0.052172,0.045696,0.116418,0.092802,0.106674,0.089201,0.112386,0.066258,0.130901,0.092237,0.139797,0.087018,0.114242,0.086274,0.092585,0.152982,0.128722,0.109320,0.087870,0.125323,0.136884,0.100516,0.068967,259.614441,59.695946,31.061806,5.764071,2.869624,-2.980645,2.801999,-4.141813,44.139881,-7.903509,-2.553868,-7.629958,1.668138,0.436660,0.019981,-1.814027,-2.906765,-4.321554,-2.850059,-3.606931,-2.444029,-3.048621,5.153245,3.345576,258.962067,59.546761,31.534506,5.216159,2.790094,-3.105768,1.893196,-4.643385,44.044807,-5.905681,-3.313379,-5.311829,1.301587,0.032271,-0.708166,-2.152030,-1.165281,-3.596448,-3.115343,-3.278650,-1.963060,-1.586782,7.091616,4.954533
multi-source.txt,7,13,".",system,0,0.121525,0.108852,0.191246,0.032978,0.038078,0.039785,0.039722,0.039516,0.058568,0.016699,0.040310,0.016949,0.054496,0.040898,0.040086,0.037222,0.004217,0.021525,0.017391,0.041397,0.042862,0.031987,0.238767,0.247562,0.032709,0.045767,0.034734,0.098162,0.080273,0.092046,0.079188,0.095022,0.053314,0.111655,0.079259,0.122213,0.074578,0.100222,0.078839,0.082606,0.131390,0.109441,0.094913,0.075815,0.110688,0.118088,0.083133,0.056980,260.545593,62.828823,34.754272,6.717302,3.456443,-2.832487,2.275409,-4.260338,36.365654,-7.034874,-3.092954,-7.634045,2.260478,0.601794,-0.914548,-2.388563,-2.726045,-3.552938,-2.863352,-2.652744,-1.862245,-1.194235,9.458040,7.456207,258.928375,61.593098,31.579453,5.215015,2.615691,-3.206458,1.886917,-4.749238,34.555492,-6.329680,-3.417567,-5.636094,1.169721,-0.012645,-0.776911,-2.268939,-1.374754,-3.865994,-3.313232,-3.618944,-2.158796,-1.885512,6.965581,4.700724
multi-source.txt,8,11479," Help",system,0,0.081576,0.077493,0.059998,0.025327,0.031906,0.012295,0.023469,0.029171,0.056275,0.017004,0.022345,0.006697,0.027242,0.021653,0.031218,0.027199,0.009824,0.023136,0.025268,0.022702,0.007129,0.003715,0.004111,0.006833,0.038273,0.046425,0.047107,0.086523,0.071302,0.082019,0.069798,0.085834,0.047708,0.097862,0.070276,0.106631,0.067664,0.090699,0.070182,0.072050,0.115047,0.094559,0.081123,0.066863,0.098921,0.105008,0.099833,0.076728,259.912598,63.373947,31.067272,4.980711,3.127975,-3.904160,1.377779,-4.936794,31.906790,-6.682353,-3.616138,-7.052693,1.375691,-0.499540,-1.570046,-3.054615,-2.707792,-4.099837,-3.453295,-3.938991,-3.973142,-4.555435,4.755604,3.376541,258.643799,63.078682,31.053122,5.236750,2.540245,-3.279512,1.803638,-4.863253,31.126743,-6.487150,-3.563868,-5.895779,1.164534,-0.103168,-0.967115,-2.446823,-1.609988,-3.906006,-3.358752,-3.659481,-2.220004,-1.901679,7.286502,5.069262
